The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	       615	       183	       991	   2580.24	   14160.1	1.49976e+07	   95960.8	6.03236e+07	   2716.01	1.22363e+06
	       625	       184	       995	   2566.24	   13888.5	1.51365e+07	   93981.4	6.12635e+07	   2709.62	1.25072e+06
	       635	       185	      1003	   2552.53	   13618.9	1.52727e+07	   92140.7	6.21849e+07	   2696.13	1.27769e+06
	       645	       186	      1007	   2539.11	   13343.6	1.54061e+07	   90256.9	6.30874e+07	   2680.66	1.30449e+06
	       655	       187	      1011	   2525.97	   13088.9	1.5537e+07	   88496.1	6.39724e+07	   2667.67	1.33117e+06
	       660	       188	      1014	    2519.5	   12966.8	1.56019e+07	   87708.3	6.44109e+07	    2660.3	1.34447e+06
	       661	       189	      1016	   2518.22	     12938	1.56148e+07	   87505.2	6.44984e+07	   2656.55	1.34713e+06
	       663	       190	      1018	   2515.64	   12890.3	1.56406e+07	   87173.3	6.46728e+07	   2654.87	1.35244e+06
	       667	       191	      1021	   2510.52	   12799.2	1.56918e+07	   86534.6	6.50189e+07	   2651.57	1.36304e+06
	       675	       192	      1025	   2500.42	   12621.4	1.57928e+07	   85284.4	6.57012e+07	   2643.55	1.38419e+06
	       685	       194	      1032	   2488.07	   12399.3	1.59167e+07	   83872.3	6.65399e+07	   2642.52	1.41062e+06
	       695	       195	      1036	    2475.9	   12162.6	1.60384e+07	   82454.2	6.73645e+07	   2647.58	1.43709e+06
	       705	       196	      1040	      2464	     11957	1.61579e+07	   81031.7	6.81748e+07	   2650.04	1.46359e+06
	       715	       197	      1044	   2452.31	   11764.9	1.62756e+07	   79644.2	6.89712e+07	   2649.54	1.49009e+06
	       720	       198	      1047	   2446.53	   11672.1	1.63339e+07	   78984.9	6.93662e+07	   2645.99	1.50332e+06
	       721	       199	      1049	   2445.38	   11650.5	1.63456e+07	   78817.1	6.9445e+07	   2641.82	1.50596e+06
	       723	       200	      1051	   2443.08	   11614.4	1.63688e+07	   78548.1	6.96021e+07	   2642.25	1.51124e+06
	       727	       201	      1054	   2438.51	   11546.6	1.6415e+07	   78030.9	6.99142e+07	   2642.75	1.52182e+06
	       735	       202	      1057	   2429.49	   11415.8	1.65063e+07	   77068.5	7.05307e+07	   2642.06	1.54295e+06
	       745	       203	      1061	   2418.39	   11257.8	1.66189e+07	   75792.8	7.12887e+07	   2637.58	1.56933e+06
	       755	       204	      1065	   2407.47	   11107.6	 1.673e+07	   74586.6	7.20345e+07	   2631.78	1.59565e+06
	       765	       205	      1069	   2396.75	   10946.5	1.68395e+07	   73411.2	7.27686e+07	   2630.12	1.62195e+06
	       775	       206	      1073	    2386.2	   10786.1	1.69473e+07	     72252	7.34912e+07	   2628.98	1.64824e+06
	       785	       207	      1077	   2375.83	   10657.9	1.70539e+07	     71164	7.42028e+07	   2627.64	1.67451e+06
	       795	       208	      1081	   2365.63	   10519.5	1.71591e+07	     70149	7.49043e+07	   2628.34	1.7008e+06
	       805	       209	      1085	   2355.61	   10389.8	1.7263e+07	   69019.5	7.55945e+07	   2631.69	1.72711e+06
	       815	       210	      1089	   2345.73	   10271.6	1.73657e+07	   68045.6	7.62749e+07	   2630.31	1.75342e+06
	       825	       211	      1092	   2336.01	     10161	1.74673e+07	   67173.7	7.69467e+07	   2629.22	1.77971e+06
	       835	       212	      1096	   2326.42	   10056.8	1.75679e+07	   66223.9	7.76089e+07	   2624.83	1.80596e+06
	       845	       214	      1102	   2316.95	   9951.64	1.76674e+07	   65449.4	7.82634e+07	   2636.51	1.83232e+06
	       855	       215	      1108	   2307.64	   9820.42	1.77656e+07	     64405	7.89075e+07	   2642.73	1.85875e+06
	       865	       216	      1111	    2298.5	   9700.15	1.78626e+07	   63477.8	7.95422e+07	   2640.86	1.88516e+06
	       875	       217	      1114	    2289.5	   9587.78	1.79585e+07	     62488	8.01671e+07	   2640.27	1.91156e+06
	       885	       218	      1117	   2280.64	   9483.51	1.80533e+07	   61546.9	8.07826e+07	   2638.14	1.93794e+06
	       895	       219	      1120	   2271.92	   9373.34	1.81471e+07	   60635.7	8.13889e+07	   2638.26	1.96433e+06
	       900	       220	      1123	    2267.6	   9318.13	1.81936e+07	     60108	8.16895e+07	   2625.33	1.97745e+06
The 2th Row
	      TIME	      FGIR	      FGIT	      FWIR	      FWIT	      WOPR	      WOPR	      WOPR	      WOPR	      WOPR
	       DAY	  MSCF/DAY	      MSCF	   STB/DAY	       STB	   STB/DAY	   STB/DAY	   STB/DAY	   STB/DAY	   STB/DAY
	          	          	          	          	          	     INJE1	    PROD10	    PROD11	    PROD12	    PROD13
	         1	         0	         0	   1364.64	   1364.64	         0	    1499.2	   1498.26	   1481.52	   1499.28
	         2	         0	         0	   1067.82	   2432.46	         0	   1498.85	   1491.52	   1482.82	   1495.29
	         4	         0	         0	   998.676	   4429.81	         0	   1499.97	   1500.06	   1499.85	   1500.01
	         8	         0	         0	   1029.05	      8546	         0	   1500.06	   1500.24	   1500.06	   1500.05
	        16	         0	         0	   1118.72	   17495.8	         0	      1500	   1500.03	      1500	      1500
	        26	         0	         0	   1198.96	   29485.3	         0	   1500.06	      1500	    1499.8	   1500.01
	        36	         0	         0	   1251.59	   42001.2	         0	   1495.79	   1499.99	   1499.91	      1500
	        46	         0	         0	   1289.15	   54892.7	         0	      1500	      1500	      1500	      1500
	        50	         0	         0	    1302.3	   60101.9	         0	   1500.24	   1499.97	    1500.2	   1500.77
	        51	         0	         0	   1305.37	   61407.2	         0	   1500.09	      1500	      1500	   1500.01
	        53	         0	         0	   1310.84	   64028.9	         0	   1499.98	   1500.03	   1500.03	   1500.04
	        57	         0	         0	   1322.24	   69317.9	         0	   1497.17	   1500.15	   1496.19	    1500.1
	        65	         0	         0	   1343.97	   80069.7	         0	   1499.97	   1499.97	   1499.93	   1499.98
	        75	         0	         0	   1369.86	   93768.3	         0	   1499.98	   1499.96	   1499.96	   1499.97
	        85	         0	         0	   1394.23	    107711	         0	      1500	      1500	   1500.01	   1499.99
	        95	         0	         0	   1417.76	    121888	         0	      1500	   1499.99	    1499.9	   1499.83
	       100	         0	         0	   1429.61	    129036	         0	      1500	      1500	   1500.03	   1499.99
	       101	         0	         0	   1431.78	    130468	         0	   1500.07	   1500.01	   1499.97	   1500.02
	       103	         0	         0	   1436.36	    133341	         0	   1499.99	   1499.98	   1499.98	   1499.95
	       107	         0	         0	   1445.56	    139123	         0	   1499.94	   1499.89	   1499.73	   1499.87
	       110	         0	         0	   1452.43	    143480	         0	   1500.09	   1499.92	   1494.84	   1500.09
	       111	         0	         0	   1454.53	    144935	         0	   1500.04	   1499.99	   1499.97	   1500.02
	       113	         0	         0	   1459.13	    147853	         0	   1499.99	   1499.97	   1499.95	   1499.07
	       115	         0	         0	    1463.8	    150781	         0	   1500.02	   1499.97	   1499.98	   1499.99
	       116	         0	         0	   1465.99	    152247	         0	   1500.02	      1500	   1499.95	   1500.01
	       118	         0	         0	    1470.7	    155188	         0	   1499.99	   1499.97	   1499.99	   1499.98
	       120	         0	         0	   1475.41	    158139	         0	   1499.54	   1499.97	   1499.96	   1499.99
	       121	         0	         0	    1477.6	    159616	         0	   1500.02	      1500	   1499.95	   1500.02
	       123	         0	         0	   1482.41	    162581	         0	   1499.99	   1499.97	   1500.03	   1499.95
	       125	         0	         0	   1487.24	    165556	         0	   1499.19	   1499.97	   1499.99	   1499.96
	       126	         0	         0	   1489.49	    167045	         0	   1500.02	      1500	   1499.94	   1500.02
	       128	         0	         0	   1494.38	    170034	         0	   1499.99	   1499.96	   1499.98	   1499.95
	       130	         0	         0	   1499.19	    173032	         0	   1500.02	   1499.97	   1500.02	   1499.97
	       131	         0	         0	   1501.46	    174534	         0	   1500.02	      1500	   1499.94	   1500.03
	       133	         0	         0	   1506.41	    177547	         0	   1499.99	   1499.98	   1500.06	   1499.93
	       137	         0	         0	    1515.8	    183610	         0	   1499.92	   1499.88	   1499.48	   1499.49
	       145	         0	         0	   1537.08	    195907	         0	      1500	      1500	   1467.16	      1500
	       155	         0	         0	   1564.61	    211553	         0	   1500.01	   1500.01	   1366.55	   1499.96
	       165	         0	         0	   1592.89	    227481	         0	      1500	   1500.04	   1272.21	   1499.99
	       175	         0	         0	   1621.75	    243699	         0	      1500	   1448.38	   1184.66	   1500.03
	       185	         0	         0	   1651.33	    260212	         0	   1500.03	   1349.48	   1084.78	   1499.91
	       195	         0	         0	    1681.4	    277026	         0	      1500	   1260.63	   999.934	   1499.99
	       200	         0	         0	   1696.48	    285509	         0	   1500.18	    1220.3	   962.701	   1499.39
	       201	         0	         0	   1699.37	    287208	         0	   1500.02	   1211.62	   954.413	   1499.97
	       203	         0	         0	   1705.37	    290619	         0	   1499.93	    1196.1	   939.283	   1499.85
	       207	         0	         0	    1717.4	    297488	         0	      1500	   1165.84	   911.309	    1499.6
	       215	         0	         0	   1742.13	    311425	         0	      1500	   1110.12	   858.963	   1499.99
	       225	         0	         0	   1774.24	    329168	         0	   1503.32	   989.988	   801.457	   1498.62
	       235	         0	         0	   1805.81	    347226	         0	      1500	   881.407	   744.617	   1499.99
	       245	         0	         0	    1838.2	    365608	         0	      1500	   800.979	   656.276	   1499.99
	       255	         0	         0	   1871.49	    384323	         0	      1500	   730.778	   568.298	   1441.97
	       265	         0	         0	    1905.4	    403377	         0	   1500.01	   670.314	   516.329	   1377.23
	       275	         0	         0	   1939.86	    422775	         0	      1500	   617.821	   482.235	   1318.78
	       285	         0	         0	   1974.53	    442521	         0	      1500	   571.528	   453.979	   1264.89
	       295	         0	         0	   2009.39	    462615	         0	   1500.01	   530.518	    428.33	   1214.19
	       300	         0	         0	   2026.78	    472748	         0	   1499.79	   511.494	   415.945	   1189.49
	       301	         0	         0	    2030.2	    474779	         0	   100.002	       100	   100.001	   100.006
	     302.5	         0	         0	   2035.16	    477831	         0	    100.06	   99.9994	       100	   100.005
	       305	         0	         0	   2043.21	    482939	         0	   102.465	   100.012	   99.8839	   99.4592
	       306	         0	         0	   2046.16	    484986	         0	   101.423	   100.007	   100.012	   100.024
	       308	         0	         0	   2052.16	    489090	         0	   100.851	   99.9666	   99.9544	   100.028
